-2.44,1.59,9.30,0.01,0.04,-0.00,3.38,-56.87,65.13
-2.40,1.67,9.38,-0.00,0.03,0.03,4.83,-56.96,64.45
-2.37,1.75,9.22,0.01,0.00,0.00,5.23,-57.93,64.32
-2.54,1.63,9.28,0.02,0.04,0.03,4.79,-58.72,65.94
-2.52,1.53,9.10,-0.02,0.01,0.01,4.79,-58.72,65.94
-2.43,1.78,9.28,-0.01,0.03,-0.00,5.93,-58.79,65.00
-2.47,1.72,9.21,0.03,0.04,0.05,5.93,-58.79,65.00
-2.51,1.69,9.24,-0.01,0.01,-0.02,4.25,-57.70,64.46
-2.48,1.58,9.23,0.01,0.03,-0.03,4.25,-57.70,64.46
-2.54,1.72,9.18,0.03,0.05,0.02,4.63,-58.52,64.74
-2.41,1.71,9.33,0.01,0.03,0.01,4.63,-58.52,64.74
-2.44,1.63,9.25,-0.01,0.01,-0.02,4.61,-58.21,64.74
-2.36,1.63,9.23,-0.00,-0.01,-0.03,3.20,-56.71,65.93
-2.51,1.72,9.26,-0.00,0.03,0.05,5.38,-57.79,64.45
-2.47,1.63,9.32,-0.02,0.03,0.02,2.75,-56.96,64.60
-2.47,1.66,9.15,0.01,0.02,0.02,5.69,-57.83,65.12
-2.57,1.66,9.28,-0.03,0.00,0.00,5.17,-57.15,64.58
-2.49,1.68,9.19,-0.04,0.01,0.04,4.96,-58.54,64.20
-2.43,1.62,9.27,0.02,0.01,0.00,6.35,-58.03,64.98
-2.52,1.56,9.29,-0.03,0.03,0.08,4.79,-58.37,64.34
-2.46,1.62,9.24,-0.01,0.02,0.01,4.79,-58.37,64.34
-2.35,1.62,9.24,-0.01,0.05,-0.00,5.19,-57.64,65.52
-2.46,1.67,9.22,-0.05,0.04,-0.04,5.19,-57.64,65.52
-2.48,1.57,9.13,-0.02,-0.01,-0.01,5.21,-57.61,64.05
-2.41,1.69,9.03,-0.01,0.02,0.01,5.21,-57.61,64.05
-2.52,1.68,9.12,-0.01,0.03,-0.02,3.47,-55.92,64.58
-2.48,1.66,9.22,0.03,0.03,0.02,3.47,-55.92,64.58
-2.51,1.65,9.28,0.00,0.04,0.01,2.84,-58.25,65.55
-2.44,1.70,9.26,-0.00,0.02,0.03,5.53,-57.65,64.58
-2.38,1.60,9.36,0.02,-0.02,-0.01,3.95,-57.82,63.67
-2.44,1.68,9.21,0.01,0.03,-0.01,4.29,-58.18,64.74
-2.46,1.70,9.27,-0.02,-0.01,0.01,3.79,-58.17,66.08
-2.42,1.77,9.23,0.01,-0.01,0.03,4.89,-57.77,65.13
-2.52,1.77,9.22,-0.05,-0.00,-0.03,3.74,-57.37,65.40
-2.28,1.69,9.19,-0.02,-0.00,0.03,5.58,-56.23,64.16
-2.50,1.72,9.21,-0.03,0.02,-0.03,4.57,-57.74,65.13
-2.46,1.70,9.33,-0.02,-0.00,0.02,5.87,-57.98,64.32
-2.46,1.79,9.31,0.00,0.03,0.00,4.73,-59.79,64.76
-2.48,1.69,9.24,0.00,0.03,0.04,4.73,-59.79,64.76
-2.39,1.61,9.37,-0.02,0.01,0.02,4.49,-56.62,64.18
-2.48,1.69,9.32,-0.00,-0.01,0.03,4.49,-56.62,64.18
-2.51,1.68,9.28,0.00,-0.00,0.03,4.95,-58.56,65.14
-2.40,1.77,9.22,0.02,0.04,0.00,4.95,-58.56,65.14
-2.42,1.60,9.26,0.04,-0.00,-0.01,5.29,-58.73,64.60
-2.40,1.65,9.19,-0.02,0.01,0.00,5.29,-58.73,64.60
-2.40,1.72,9.28,-0.02,0.00,-0.00,4.28,-58.20,65.41
-2.41,1.80,9.20,-0.02,0.02,0.01,4.43,-57.87,64.33
-2.52,1.73,9.26,-0.05,-0.01,0.02,5.44,-58.58,64.47
-2.45,1.81,9.29,-0.02,0.03,0.02,5.37,-57.81,65.66
-2.40,1.66,9.24,-0.02,-0.00,0.03,3.40,-59.23,65.43
-2.59,1.71,9.19,-0.04,-0.01,-0.02,6.81,-57.93,66.05
-2.44,1.58,9.24,0.00,0.01,-0.01,4.74,-57.92,65.53
-2.47,1.68,9.21,-0.01,-0.01,-0.03,4.42,-57.88,65.00
-2.51,1.71,9.24,-0.02,0.03,0.04,4.15,-56.62,65.65
-2.53,1.59,9.16,0.01,0.03,0.00,4.74,-57.91,65.26
